,B1,B2,B3,B4,B5,B6,B7,date
898,873.0,1176.0,1976.0,2948.0,4135.0,4535.0,3340.0,2.0
899,615.0,773.0,1159.0,1584.0,2417.0,3150.5,2735.5,2.0
900,555.5,688.0,1083.0,1481.5,2488.0,3281.5,2596.0,2.0
901,483.0,727.0,1310.0,1674.0,3295.0,3333.0,2606.0,2.0
902,714.5,900.5,1404.5,1980.0,2943.0,3756.0,2919.0,2.0
903,576.0,755.0,1313.0,1905.0,2949.0,3545.0,2766.0,2.0
904,781.0,967.0,1506.0,2201.5,3264.5,4100.5,3329.5,2.0
905,811.5,1086.5,1732.0,2321.0,3781.5,4159.5,3379.0,2.0
906,1101.0,1374.0,2140.0,3094.0,4417.0,5204.0,4059.0,2.0
907,764.0,979.5,1649.0,2166.0,4490.5,4273.0,3081.5,2.0
908,463.0,617.5,1147.0,1317.5,3797.0,2903.0,1956.0,2.0
909,779.0,1001.0,1524.0,1930.0,3413.0,3733.0,2866.0,2.0
910,1343.0,1614.0,2418.0,3202.0,4359.0,5930.0,5177.0,2.0
911,1054.0,1299.0,1894.0,2508.5,3410.5,4735.5,4004.5,2.0
912,499.0,608.0,1016.5,1550.5,2270.5,3342.0,2808.5,2.0
913,909.0,1091.0,1569.5,1981.5,3229.5,3302.0,2708.5,2.0
914,793.0,972.0,1595.0,2367.0,3181.0,4316.0,3539.0,2.0
915,266.0,343.5,808.5,653.0,4661.0,2349.5,1206.0,2.0
916,539.0,714.5,1084.0,1231.5,2711.5,2773.0,2159.5,2.0
917,667.0,928.0,1486.0,1741.0,3609.0,3568.0,2755.0,2.0
918,934.0,1253.0,1819.0,2254.0,3219.0,4361.0,3616.0,2.0
919,663.5,800.5,1096.0,1353.5,2093.5,2828.5,2325.0,2.0
920,754.0,936.0,1462.0,2023.0,2976.5,4247.0,3784.5,2.0
921,700.0,863.0,1337.0,1624.0,4114.0,3585.0,2657.0,2.0
922,859.0,1069.0,1558.0,2177.0,3808.0,4530.0,3708.0,2.0
923,513.0,690.0,1116.5,1578.0,2444.0,3603.5,3055.5,2.0
924,609.0,729.5,1127.5,1653.0,2557.0,3540.0,3044.5,2.0
925,620.0,883.0,1480.0,1999.0,3411.0,3714.0,3105.0,2.0
926,872.0,1084.5,1705.0,2500.5,3692.5,4506.5,3795.0,2.0
927,962.0,1027.0,1343.0,1710.0,2575.0,3649.0,3204.0,2.0
928,954.5,1181.0,1912.0,2459.5,3234.5,4261.0,3687.5,2.0
929,572.0,866.0,1515.0,1805.0,3160.0,2898.0,2279.0,2.0
930,940.0,1207.0,1990.0,2500.0,4008.0,4416.0,3498.0,2.0
931,835.0,1047.0,1684.0,2279.0,3137.0,4234.0,3587.0,2.0
932,487.0,641.5,1114.0,1512.0,2309.5,3295.5,2755.5,2.0
933,536.0,794.0,1466.0,1827.0,3611.0,3380.0,2578.0,2.0
934,689.5,980.0,1627.0,2165.0,3190.5,3923.0,3199.5,2.0
935,489.0,657.0,1121.0,1411.0,3071.0,3319.0,2510.0,2.0
936,727.0,904.0,1440.0,2075.0,3007.0,3922.0,3319.0,2.0
937,845.0,1115.0,1770.0,2476.0,3732.0,4368.0,3818.0,2.0
938,895.0,1137.0,1792.0,2574.0,3628.0,4784.0,4198.0,2.0
939,615.5,790.5,1223.0,1706.5,2774.5,3609.0,3044.0,2.0
940,320.5,385.0,658.5,895.0,1914.0,2116.5,1573.5,2.0
941,518.5,629.5,1125.0,1472.0,2850.0,3076.0,2273.0,2.0
942,537.5,652.0,1117.5,1574.5,2856.5,2917.0,2252.0,2.0
943,265.0,324.0,641.0,868.0,1947.0,2149.0,1516.0,2.0
944,494.5,621.5,1050.0,1512.0,2063.0,3075.0,2446.5,2.0
945,629.0,833.0,1388.0,1768.0,2968.0,3533.0,2810.0,2.0
946,681.0,841.0,1441.0,2017.0,3180.0,4165.0,3023.0,2.0
947,538.0,646.0,1080.0,1568.0,2070.0,3192.0,2483.0,2.0
948,404.5,488.0,714.0,842.5,2078.5,2473.5,1798.0,2.0
949,511.0,647.0,1048.0,1431.0,2590.0,3282.0,2595.0,2.0
950,668.0,818.0,1257.0,1937.0,2934.0,3584.0,3133.0,2.0
951,450.0,562.0,874.0,1296.5,2315.5,2667.0,2247.5,2.0
952,606.0,804.0,1535.5,2174.0,2849.0,3419.5,2696.0,2.0
953,1075.5,1279.0,1939.5,2577.5,3398.5,3754.5,3118.0,2.0
954,735.0,970.0,1778.0,2556.0,3254.0,3851.0,2928.0,2.0
955,535.0,729.5,1452.0,1953.0,2789.5,3089.5,2407.0,2.0
956,522.5,643.0,920.0,1234.5,1876.5,3145.5,2650.0,2.0
957,747.0,974.0,1462.0,1730.0,3221.0,3648.0,2969.0,2.0
958,792.0,1018.0,1538.0,1920.0,3665.0,4004.0,3026.0,2.0
959,598.0,727.0,1049.0,1322.0,2461.0,3316.0,2573.0,2.0
960,518.0,612.0,990.5,1412.0,2193.5,3261.5,2817.5,2.0
961,511.0,658.0,1261.0,1849.0,2901.0,4097.0,3588.0,2.0
962,670.0,822.0,1543.0,2515.0,3346.0,4355.0,3837.0,2.0
963,447.0,550.0,1057.0,1597.0,2712.0,3418.0,2719.5,2.0
964,656.0,827.0,1345.0,1774.0,2867.0,3335.0,2557.0,2.0
965,784.0,1082.0,1783.0,2237.0,3736.0,4261.0,3476.0,2.0
966,998.0,1244.0,1914.5,2542.5,3764.0,4711.5,3683.5,2.0
967,1061.0,1231.0,1691.0,2102.0,3193.0,3638.0,2872.0,2.0
968,180.5,245.5,456.0,531.5,1811.5,1455.0,941.5,2.0
969,288.0,372.5,657.0,669.5,2490.0,1958.0,1263.5,2.0
970,228.5,329.5,615.5,682.0,2439.0,1867.0,1119.5,2.0
971,156.0,234.0,430.0,484.0,2074.0,1346.0,803.0,2.0
972,633.0,851.0,1377.0,2189.0,2997.0,3859.0,3152.0,2.0
973,811.0,1017.0,1604.0,2478.0,3458.0,4507.0,3876.0,2.0
974,959.0,1161.0,1902.0,2889.5,3853.5,4984.5,4216.5,2.0
975,729.0,874.0,1509.0,2324.0,3308.0,3785.5,3007.0,2.0
976,358.0,483.0,710.5,928.0,1741.0,2627.0,2016.0,2.0
977,444.0,700.0,1176.0,1315.0,2745.0,2952.0,2206.0,2.0
978,567.0,708.0,1116.0,1518.0,2411.0,3743.0,3067.0,2.0
979,239.0,315.0,651.0,541.0,2967.0,1980.0,1154.0,2.0
980,654.0,843.0,1410.0,1658.0,4106.0,3015.0,2112.0,2.0
981,816.0,1032.0,1636.0,2068.0,3776.0,3671.0,2845.0,2.0
982,1195.5,1537.0,2304.0,3033.0,4015.0,5144.0,4119.5,2.0
983,1036.0,1323.5,2070.0,2680.0,3691.5,4395.5,3653.5,2.0
984,420.0,504.0,854.0,1208.0,2315.0,3087.0,2439.0,2.0
985,583.0,768.0,1277.5,1700.0,3464.5,3717.0,2682.5,2.0
986,761.0,912.0,1394.0,2098.0,3028.0,4088.0,3270.0,2.0
987,462.0,551.0,956.0,1535.0,2314.0,3699.0,2990.0,2.0
988,341.0,446.0,794.0,1131.0,1902.5,3077.0,2427.0,2.0
