Point_ID,Coarse,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc,x,y
"38882776",,,,,7.40,7.67,32.20,39.50,"93",48.10,3.60,512.20,B13,U111,FR,FRF,FRF2,FRF22,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.2002481990,47.9445888700
"38882854",,,,,7.40,7.73,27.20,29.50,"537",39.50,2.30,234.30,B13,U111,FR,FRF,FRF2,FRF22,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.1191880500,48.6438525400
"38882938",,,,,7.40,7.81,19.80,20.90,"681",24.50,2.10,156.90,B11,U111,FR,FRE,FRE2,FRE21,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.0286180290,49.3965832800
"38882962",,,,,6.40,6.47,21.10,8.30,"2",33.50,1.10,193.10,B22,U111,FR,FRE,FRE2,FRE21,Cropland,Sugar beet,Agriculture (excluding fallow land and kitchen gardens),4.0020915310,49.6115914800
"38883110","6","14","30","56",5.90,6.30,22.70,8.90,"0",45.60,1.10,95.70,B16,U111,BE,BE2,BE23,BE234,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),3.8317607100,50.9369575800
"38883118","2","6","75","19",4.00,4.78,5.10,15.80,"0",104.90,1.40,65.60,B16,U111,BE,BE2,BE23,BE234,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),3.8222090110,51.0085752800
"38902348",,,,,7.40,7.91,16.55,7.00,"274",6.70,1.30,96.20,B82,U111,FR,FRJ,FRJ1,FRJ12,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),4.6237712710,44.1027605800
"38902586",,,,,5.00,5.38,47.60,43.90,"0",40.40,3.80,306.30,D20,U120,FR,FRK,FRK2,FRK26,Shrubland,Shrubland without tree cover,Forestry,4.4121724590,46.2412636300
"38902676",,,,,5.70,6.00,33.30,23.40,"0",17.80,2.60,56.70,F40,U111,FR,FRC,FRC1,FRC13,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),4.3263582540,47.0490188700
"38902682",,,,,4.00,4.50,17.25,31.70,"0",25.50,3.20,143.70,D20,U120,FR,FRC,FRC1,FRC13,Shrubland,Shrubland without tree cover,Forestry,4.3205163560,47.1028527800
"38902780",,,,,7.50,7.76,26.30,25.10,"55",52.40,3.10,485.50,B11,U111,FR,FRF,FRF2,FRF22,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.2228706380,47.9818649000
"38902826",,,,,7.40,7.85,26.00,23.40,"522",37.90,2.00,386.10,B35,U111,FR,FRF,FRF2,FRF22,Cropland,Other fibre and oleaginous crops,Agriculture (excluding fallow land and kitchen gardens),4.1755423690,48.3942914700
"38902838",,,,,7.50,7.97,24.70,18.40,"692",69.70,2.30,372.90,B22,U111,FR,FRF,FRF2,FRF22,Cropland,Sugar beet,Agriculture (excluding fallow land and kitchen gardens),4.1630335640,48.5018639000
"38903014",,,,,6.40,6.46,25.60,68.50,"1",54.20,7.30,250.60,E20,U111,FR,FRE,FRE1,FRE11,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),3.9714517720,50.0788390400
"38903114","3","9","67","24",5.10,5.62,27.30,15.50,"0",126.80,1.60,252.30,E20,U111,BE,BE2,BE23,BE232,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),3.8553792540,50.9742791200
"38922344",,,,,7.30,7.69,16.67,13.90,"82",19.00,1.40,116.50,B82,U111,FR,FRJ,FRJ1,FRJ12,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),4.6520095850,44.0680763200
"38922362",,,,,7.20,7.76,13.70,11.20,"175",38.00,1.20,140.80,B82,U111,FR,FRJ,FRJ1,FRJ12,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),4.6368325980,44.2299550300
"38922452","23","9","52","39",3.50,4.20,16.42,114.10,"0",44.50,6.10,236.30,C32,U120,FR,FRK,FRK2,FRK22,Woodland,Pine dominated mixed woodland,Forestry,4.5592113820,45.0390092400
"38922584",,,,,3.00,3.89,24.70,196.00,"0",9.10,7.40,155.30,C31,U120,FR,FRK,FRK2,FRK26,Woodland,Spruce dominated mixed woodland,Forestry,4.4398782520,46.2246572600
"38922722",,,,,5.00,5.30,45.80,25.60,"1",93.60,3.30,108.90,E20,U111,FR,FRC,FRC1,FRC11,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.3076180780,47.4630812200
"38922812",,,,,7.20,7.57,36.10,28.80,"30",44.60,3.50,451.60,E20,U111,FR,FRF,FRF2,FRF22,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.2169125420,48.2701931200
"38922830",,,,,7.50,7.83,27.50,22.90,"685",42.40,2.50,422.20,B52,U111,FR,FRF,FRF2,FRF22,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens),4.1983277450,48.4315666200
"38922992",,,,,6.00,6.25,24.20,20.00,"1",27.70,2.40,83.80,B13,U111,FR,FRE,FRE2,FRE21,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.0240096350,49.8832559700
"38923172",,,,,7.30,7.69,22.60,10.40,"25",48.00,1.30,158.40,B11,U111,NL,NL3,NL34,NL342,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.8141847980,51.4949934400
"38942330",,,,,7.00,7.34,14.77,17.90,"14",9.70,1.80,206.80,C10,U420,FR,FRJ,FRJ1,FRJ12,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use,4.6885426870,43.9434351700
"38942352",,,,,7.30,7.95,15.59,9.00,"137",17.30,1.00,219.90,B13,U111,FR,FRJ,FRJ1,FRJ12,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.6701702490,44.1413110200
"38942464","29","4","76","20",4.70,5.10,33.20,32.80,"1",31.20,2.70,61.00,C10,U420,FR,FRK,FRK2,FRK22,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use,4.5739752030,45.1481542400
"38942522",,,,,5.30,5.81,41.60,67.40,"0",44.60,7.10,162.40,E20,U111,FR,FRK,FRK2,FRK26,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.5223435350,45.6692262100
"38942568",,,,,4.80,5.15,46.90,35.10,"0",45.70,3.50,199.20,E20,U111,FR,FRK,FRK2,FRK26,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.4804745680,46.0823390800
"38942636",,,,,4.80,5.04,52.50,28.00,"0",40.00,3.40,188.10,E20,U111,FR,FRC,FRC1,FRC13,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.4170384670,46.6927937300
"38942726",,,,,5.60,6.02,15.49,11.40,"0",18.30,1.50,95.50,B13,U111,FR,FRC,FRC1,FRC11,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.3301280520,47.5003427000
"38942748",,,,,7.10,7.34,21.90,18.20,"1",25.80,2.30,260.50,B11,U111,FR,FRC,FRC1,FRC11,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.3083526090,47.6976768100
"38942924",,,,,7.50,7.86,24.20,15.70,"376",25.40,1.70,172.90,B11,U111,FR,FRF,FRF2,FRF23,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.1261709330,49.2754849200
"38943000",,,,,5.70,5.88,67.20,72.10,"1",79.60,5.70,324.00,E20,U111,FR,FRE,FRE2,FRE21,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.0428491920,49.9563766000
"38943054","4","8","60","32",4.90,5.53,11.31,27.50,"0",30.60,2.40,59.60,E20,U111,BE,BE3,BE32,BE323,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),3.9818237670,50.4400251900
"38943130","8","12","26","62",4.90,5.47,12.45,34.10,"0",42.60,3.70,100.00,B16,U111,BE,BE2,BE23,BE234,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),3.8932486140,51.1205299700
"38943144",,,,,7.40,7.75,46.90,11.40,"52",65.10,1.60,308.20,B16,U111,NL,NL3,NL34,NL341,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),3.8765779960,51.2458637600
"38943176",,,,,7.50,7.80,21.00,13.80,"66",48.10,1.80,157.40,B11,U111,NL,NL3,NL34,NL342,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.8380482460,51.5323161700
"38962368",,,,,7.60,8.04,15.04,13.10,"216",21.60,0.80,131.10,B84,U111,FR,FRL,FRL0,FRL06,Cropland,Permanent industrial crops,Agriculture (excluding fallow land and kitchen gardens),4.6816579380,44.2864824800
"38962434","37","12","44","45",4.30,4.81,17.38,53.00,"1",22.50,3.80,92.10,C32,U420,FR,FRK,FRK2,FRK22,Woodland,Pine dominated mixed woodland,Semi-natural and natural areas not in use,4.6254039900,44.8798471800
