,Point_ID,LC,LC0_Desc,LC1_Desc,LU1_Desc,x,y,system:index,B1,B1_1,B1_10,B1_11,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B2,B2_1,B2_10,B2_11,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B3,B3_1,B3_10,B3_11,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B4,B4_1,B4_10,B4_11,B4_3,B4_4,B4_5,B4_6,B4_7,B4_8,B4_9,B5,B5_1,B5_10,B5_11,B5_3,B5_4,B5_5,B5_6,B5_7,B5_8,B5_9,B6,B6_1,B6_10,B6_11,B6_3,B6_4,B6_5,B6_6,B6_7,B6_8,B6_9,B7,B7_1,B7_10,B7_11,B7_3,B7_4,B7_5,B7_6,B7_7,B7_8,B7_9,.geo
13150,46323266,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),14.57422453,52.41541228,000000000000000017aa,,,627.0,,977.0,10120.5,1062.5,2011.5,561.5,1542.0,551.5,,,786.0,,980.5,10103.0,1240.0,2203.0,803.0,1689.0,634.0,,,823.0,,1050.0,10125.0,1412.0,2272.0,850.0,1838.0,629.0,,,2764.0,,2480.5,5043.5,2577.5,3834.0,3849.0,3024.0,1376.0,,,2040.0,,2285.5,3327.5,2503.0,3355.5,2082.5,3041.0,1258.0,,,2778.0,,2829.5,2768.0,2995.5,2859.0,2970.0,2875.0,2853.0,,,1478.0,,1615.5,2536.5,1767.5,2799.0,1239.5,2074.0,940.0,"{""type"":""Point"",""coordinates"":[14.57422453,52.41541228]}"
13391,46503198,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),14.77270206,51.79536298,0000000000000000189b,,732.0,711.0,,1012.0,395.0,413.0,739.0,868.0,1197.0,717.0,,872.0,768.0,,1175.0,413.0,643.0,875.0,1027.5,1161.0,922.0,,1024.0,1086.0,,1295.0,403.0,586.0,803.0,1214.5,1224.5,1231.0,,1972.0,1730.0,,2562.0,1370.0,3406.0,3241.0,2773.0,2028.0,1884.0,,2193.0,1935.0,,2435.0,662.0,1810.0,2091.0,2562.0,1415.0,2446.0,,2747.0,2836.0,,2830.0,2886.0,2970.0,2945.0,2910.0,2728.0,2918.0,,1475.0,1570.0,,2216.0,390.0,1042.0,1102.0,1694.5,1095.5,2158.0,"{""type"":""Point"",""coordinates"":[14.77270206,51.79536298]}"
13420,46524186,F40,Bareland,Other bare soil,Forestry,16.04090759,60.6473641,000000000000000018b8,,,,,1377.0,20000.0,288.0,661.0,393.0,8265.0,922.0,,,,,1348.0,13468.0,400.0,729.5,629.0,9043.0,1000.0,,,,,1297.5,13596.0,276.0,591.5,888.0,9772.0,974.0,,,,,1994.5,8155.5,1878.0,2678.5,2343.0,10539.0,1893.5,,,,,1243.5,6109.0,822.0,1304.0,2672.0,7915.0,2057.0,,,,,2669.5,2613.0,2836.0,2872.0,2990.0,2722.0,2749.5,,,,,1037.5,4644.5,337.0,849.5,1492.0,5271.0,1383.5,"{""type"":""Point"",""coordinates"":[16.04090759,60.6473641]}"
13556,46624330,F40,Bareland,Other bare soil,Forestry,16.47815562,61.93014138,00000000000000001940,,6004.0,,,1873.0,,398.0,1532.5,473.0,,1060.5,,6024.0,,,1943.0,,503.0,1593.5,681.0,,1200.0,,6356.0,,,1998.0,,647.0,1667.0,851.5,,1380.0,,6290.0,,,2757.0,,1614.0,2637.0,1971.0,,2187.5,,405.0,,,1649.0,,1499.0,2603.5,2530.5,,2331.0,,2722.0,,,2670.0,,2939.0,2876.0,2977.5,,2768.5,,143.0,,,1026.0,,737.0,1843.0,1697.0,,1514.5,"{""type"":""Point"",""coordinates"":[16.47815562,61.93014138]}"
13665,46703700,F40,Bareland,Other bare soil,Forestry,15.6367991,56.28028193,000000000000000019ad,,,4948.0,,740.0,,514.0,1815.0,1277.5,2087.0,463.0,,,5644.0,,768.0,,677.0,2097.0,1469.5,2256.0,696.0,,,5994.0,,846.0,,816.0,2263.5,1486.5,2543.5,803.0,,,7355.0,,1307.0,,2486.0,4063.5,3091.0,4124.0,2567.0,,,6669.0,,1250.0,,2470.0,3746.5,2644.0,3847.5,2650.0,,,2735.0,,2783.0,,2913.0,2874.5,2878.5,2832.0,2778.0,,,5542.0,,1003.5,,1455.0,2731.5,1936.0,3081.5,1619.0,"{""type"":""Point"",""coordinates"":[15.6367991,56.28028193]}"
13697,46724070,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),16.20880353,59.59246684,000000000000000019cd,,,,,1223.0,20000.0,410.5,631.0,454.0,627.5,772.0,,,,,1550.0,20000.0,726.5,841.0,837.0,860.0,1120.0,,,,,1885.0,20000.0,499.0,608.0,993.0,1159.5,1429.0,,,,,2484.0,8513.0,4044.5,4413.0,2556.0,1691.5,1956.0,,,,,2755.0,6208.0,1662.5,1354.0,1609.0,1692.5,2623.0,,,,,2722.0,2649.0,2905.0,2875.0,2924.0,2853.0,2813.0,,,,,2283.0,4612.0,809.5,701.0,956.0,1133.0,1972.0,"{""type"":""Point"",""coordinates"":[16.20880353,59.59246684]}"
13777,46783194,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),15.17357284,51.74236259,00000000000000001a1d,,661.0,2088.0,,667.0,,503.0,,810.5,691.0,555.0,,730.0,2062.0,,822.0,,745.0,,1022.0,916.0,681.0,,769.0,2134.0,,988.0,,815.0,,1256.0,1084.0,753.0,,2399.0,3252.0,,2797.0,,2808.0,,3004.0,2542.0,1789.0,,1671.0,2866.0,,2616.0,,2239.0,,2928.5,2667.0,1806.0,,2747.0,2635.0,,2908.0,,2945.0,,2902.0,2923.5,2881.0,,1097.0,2569.0,,2054.0,,1412.0,,1967.5,2090.5,1642.0,"{""type"":""Point"",""coordinates"":[15.17357284,51.74236259]}"
13891,46864444,F40,Bareland,Other bare soil,Forestry,17.16660163,62.93082884,00000000000000001a8f,,,,,,,3954.0,2699.5,378.0,,,,,,,,,4038.0,2884.5,596.0,,,,,,,,,4144.0,2939.5,645.0,,,,,,,,,4831.0,3907.0,2404.0,,,,,,,,,4190.0,3029.0,1984.0,,,,,,,,,2676.0,2759.5,2950.0,,,,,,,,,3787.0,2371.5,1117.0,,,"{""type"":""Point"",""coordinates"":[17.16660163,62.93082884]}"
13895,46881576,F40,Bareland,Other bare soil,Forestry,14.1009764,37.16823442,00000000000000001a93,2814.0,,582.0,464.0,,556.0,840.0,1027.0,1209.5,1856.5,,2999.0,,782.0,735.0,,879.0,1158.5,1359.0,1531.0,2282.0,,2962.0,,819.0,642.0,,932.0,1304.5,1540.0,1705.0,2433.5,,4237.0,,2399.0,2335.0,,2906.0,2436.5,2520.0,2648.5,3560.0,,2938.0,,1869.0,1621.0,,2006.0,2458.0,2636.0,2307.0,3462.0,,2663.0,,2913.0,2875.0,,3020.0,2985.0,3029.0,2906.5,2929.0,,2210.0,,1174.0,1022.0,,1226.0,1662.0,1818.0,1680.5,2540.5,,"{""type"":""Point"",""coordinates"":[14.1009764,37.16823442]}"
13983,46941996,F40,Bareland,Other bare soil,Fallow land,14.41423949,40.96518998,00000000000000001aeb,499.0,,376.0,477.5,540.0,20000.0,646.0,568.0,543.0,580.0,,641.0,,636.0,639.5,907.0,20000.0,876.0,797.5,789.0,690.0,,717.0,,557.0,592.5,660.0,20000.0,918.5,813.5,828.0,608.0,,1624.0,,2026.0,2491.5,3685.0,20000.0,3406.5,3619.0,2743.0,2268.0,,1336.0,,1577.0,1511.5,2035.0,7585.0,2175.0,2050.0,2088.0,1424.5,,2801.0,,2918.0,2830.0,2985.0,2830.0,2990.0,3036.5,3058.0,2960.0,,915.0,,902.0,797.5,1159.0,5825.0,1372.0,1241.5,1328.0,656.5,,"{""type"":""Point"",""coordinates"":[14.41423949,40.96518998]}"
14008,46962118,F40,Bareland,Other bare soil,Fallow land,14.51770815,42.06480974,00000000000000001b04,840.0,5974.0,1143.0,1277.0,744.0,953.0,1196.0,1295.5,1284.5,1325.0,,1207.0,6299.0,1619.0,1862.0,1037.0,1437.0,1705.0,1855.5,1811.0,1794.0,,1340.0,6773.0,1799.0,2222.0,1152.0,1616.0,2044.5,2248.0,2064.5,2053.0,,3148.0,7195.0,2160.0,2741.0,2931.0,3120.0,2939.5,3373.0,2522.5,2385.0,,3450.0,7054.0,2963.0,3548.0,2682.0,3181.0,3645.0,3904.0,3203.5,3147.0,,2870.0,2703.0,2924.0,2870.0,2970.0,3044.0,3029.5,3104.5,3010.0,3034.0,,2224.0,6387.0,2397.0,2880.0,1784.0,2365.0,2752.0,2845.5,2445.0,2623.0,,"{""type"":""Point"",""coordinates"":[14.51770815,42.06480974]}"
14051,47001602,F40,Bareland,Other bare soil,Fallow land,14.24921927,37.39806619,00000000000000001b2f,4587.0,,521.0,552.0,10291.5,688.0,790.0,855.5,997.5,688.0,,4758.0,,816.0,831.0,10489.0,1083.0,1199.5,1330.5,1359.0,836.0,,4861.0,,922.0,922.0,10518.0,1307.0,1456.5,1633.0,1621.5,991.0,,5930.0,,1646.0,1737.0,11482.5,2183.0,2195.5,2349.0,2390.0,1696.0,,4103.0,,2197.0,2074.5,4741.5,2757.0,2716.0,3087.5,3041.0,1597.0,,2540.0,,2939.0,2878.0,2854.0,3081.0,3036.5,3074.5,2937.0,2908.0,,3371.0,,1575.0,1346.0,3439.0,2029.0,1996.0,2311.5,2100.5,912.0,,"{""type"":""Point"",""coordinates"":[14.24921927,37.39806619]}"
14108,47044076,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),16.78222254,59.61988981,00000000000000001b68,,,,,2569.5,453.0,267.0,1776.0,572.0,958.0,785.5,,,,,2680.5,481.5,420.0,1962.0,827.0,1229.0,1038.5,,,,,2721.5,315.0,286.0,1905.0,1053.0,1439.5,1329.0,,,,,3425.5,1952.0,3513.0,4551.0,2027.5,2298.0,1910.0,,,,,2211.5,700.5,1116.0,2269.0,1669.0,2204.5,2367.0,,,,,2616.5,2844.5,2886.0,2786.0,2934.0,2809.5,2815.5,,,,,1752.0,382.5,412.0,1785.0,922.0,1297.0,1775.0,"{""type"":""Point"",""coordinates"":[16.78222254,59.61988981]}"
14265,47182862,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),15.40128491,48.74033774,00000000000000001c05,4531.0,,,,696.0,,20000.0,624.0,970.0,2266.0,,4455.0,,,,1084.0,,20000.0,871.0,1319.0,2361.0,,4729.0,,,,1151.0,,20000.0,934.0,1847.0,2526.0,,5483.0,,,,3293.0,,8596.0,3028.0,2625.0,3210.5,,4692.0,,,,2531.0,,5984.0,1483.0,3171.0,2445.5,,2491.0,,,,2886.0,,2728.0,2975.0,2980.0,2737.5,,4319.0,,,,1825.0,,4279.0,742.0,2595.0,2033.5,,"{""type"":""Point"",""coordinates"":[15.40128491,48.74033774]}"
14339,47244042,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),17.07131079,59.29819103,00000000000000001c4f,,6269.0,,,1044.0,3133.0,277.0,3965.0,336.5,624.5,618.0,,6611.0,,,1327.0,3355.0,476.0,4012.0,626.5,881.5,921.0,,7101.0,,,1501.0,3412.0,328.0,4072.0,787.0,1043.0,1161.5,,7015.0,,,2565.0,5224.0,3312.0,4751.0,2107.0,2170.5,2327.0,,1038.0,,,2842.0,4387.0,1409.0,2169.0,1631.0,2117.0,2565.0,,2716.0,,,2807.0,2753.0,2902.0,2690.0,2931.5,2852.5,2818.5,,611.0,,,2189.0,3798.0,627.0,1925.0,855.5,1207.0,1527.5,"{""type"":""Point"",""coordinates"":[17.07131079,59.29819103]}"
14364,47264704,F40,Bareland,Other bare soil,Forestry,18.62212542,65.21852201,00000000000000001c68,,,,,,3191.5,1306.0,2660.5,406.0,,2286.0,,,,,,3257.5,1361.5,2865.0,606.0,,2099.0,,,,,,3341.0,1461.5,2998.0,615.0,,1976.0,,,,,,3871.0,2449.0,4175.5,2254.0,,2291.0,,,,,,3050.0,2184.5,3974.0,2130.0,,1430.0,,,,,,2692.5,2755.5,2818.0,2960.0,,2670.0,,,,,,2314.0,1462.0,3145.5,1228.0,,1058.0,"{""type"":""Point"",""coordinates"":[18.62212542,65.21852201]}"
14389,47301996,F40,Bareland,Other bare soil,Fallow land,14.8393725,40.94531355,00000000000000001c81,413.0,2858.0,435.0,375.5,524.0,2734.5,701.5,562.0,476.0,880.0,,466.0,2664.0,512.0,409.0,803.0,2934.0,922.5,813.5,633.0,1100.0,,416.0,2645.0,430.0,422.5,828.0,2936.5,828.0,849.0,713.0,1167.0,,1261.0,2753.0,1498.0,1348.0,2651.0,4634.5,3269.0,2895.5,2231.0,2582.0,,721.0,2169.0,994.0,831.5,1754.0,2973.5,1989.0,2109.0,1757.0,2202.0,,2801.0,2728.0,2842.0,2786.5,2934.0,2780.0,2916.5,3002.5,3010.0,2875.0,,477.0,1756.0,544.0,409.0,1086.0,2294.5,1171.0,1345.5,1138.0,1560.0,,"{""type"":""Point"",""coordinates"":[14.8393725,40.94531355]}"
14434,47323986,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),17.10814991,58.79023222,00000000000000001cae,,,,,1231.0,20000.0,388.0,1638.0,888.0,675.5,684.0,,,,,1616.0,20000.0,755.0,1703.0,1022.0,961.5,877.5,,,,,1872.0,20000.0,473.0,1623.5,1213.0,1400.0,1118.5,,,,,2482.0,6341.0,3918.0,3103.5,2266.0,2162.0,1661.0,,,,,2717.0,5520.0,1768.0,1724.0,1759.0,2695.0,2273.0,,,,,2864.0,2670.0,2902.0,2827.5,2881.0,2878.0,2818.5,,,,,2266.0,4912.0,827.0,1335.5,1252.0,1575.5,1360.0,"{""type"":""Point"",""coordinates"":[17.10814991,58.79023222]}"
14462,47361956,F20,Bareland,Sand,Semi-natural and natural areas not in use,14.88217442,40.58081432,00000000000000001cca,1374.0,20000.0,912.0,1068.5,1089.0,1343.0,1094.0,1088.5,886.0,956.0,,1571.0,20000.0,1245.0,1418.5,1401.0,1549.5,1441.5,1433.5,1162.0,1189.0,,1501.0,20000.0,1234.0,1589.0,1560.0,1634.5,1606.0,1571.5,1301.0,1247.0,,1526.0,7607.0,1285.0,1620.5,1791.0,1836.5,1814.0,1784.0,1443.0,1463.0,,1312.0,5265.0,1583.0,1948.0,2304.0,1395.5,2299.0,2167.5,1518.0,1735.0,,2819.0,2570.0,2897.0,2856.0,2950.0,2846.5,2985.0,2995.0,3005.0,2955.0,,1033.0,4118.0,1167.0,1519.5,1898.0,1188.0,1938.0,1691.0,1277.0,1327.0,,"{""type"":""Point"",""coordinates"":[14.88217442,40.58081432]}"
14569,47461998,F40,Bareland,Other bare soil,Fallow land,15.0296886,40.95393893,00000000000000001d35,571.0,1447.0,450.5,441.0,538.0,10276.0,813.0,769.5,1770.0,741.0,,771.5,1424.0,678.5,690.0,869.0,3305.5,1162.0,1149.5,2065.0,1050.0,,897.0,1509.0,578.0,501.0,832.0,3382.5,1349.0,1366.5,2167.5,1203.0,,1695.5,2307.0,2989.5,2596.0,2526.0,5115.0,2409.0,2534.0,3180.5,2498.0,,1735.0,2281.0,1556.0,1460.0,1886.0,3796.0,2225.0,2450.5,3107.0,2286.0,,2819.0,2790.0,2864.0,2807.0,2980.0,2818.0,2960.0,3076.5,2966.5,3025.0,,1190.5,1675.0,793.0,649.0,1223.0,2983.5,1660.0,1878.5,2297.0,1654.0,,"{""type"":""Point"",""coordinates"":[15.0296886,40.95393893]}"
14597,47464096,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),17.56026164,59.76066075,00000000000000001d51,,,,,3608.0,1565.0,351.0,,1120.0,1029.5,921.5,,,,,3706.5,1743.5,595.0,,1383.0,1258.0,1132.0,,,,,3909.0,1669.5,348.0,,1509.0,1345.5,1269.5,,,,,4402.5,4313.5,4457.0,,2853.0,2638.0,2523.5,,,,,3946.5,2686.0,1657.0,,2546.5,2227.5,2383.0,,,,,2727.5,2803.0,2897.0,,2931.0,2827.0,2773.5,,,,,3244.5,1930.5,688.0,,2026.0,1516.0,1846.0,"{""type"":""Point"",""coordinates"":[17.56026164,59.76066075]}"
14624,47502046,F40,Bareland,Other bare soil,Fallow land,15.11230619,41.38447375,00000000000000001d6c,560.0,,673.0,458.0,512.0,2507.5,10700.5,846.0,2603.0,3312.5,,682.0,,1014.0,651.5,840.0,2748.0,10845.5,1205.5,2862.0,3530.5,,652.0,,918.0,691.0,697.0,2708.0,10903.5,1578.0,3151.5,3838.5,,1944.0,,2092.0,1438.0,3412.0,4820.0,5506.0,2440.0,3838.5,4249.0,,1555.0,,2208.0,1408.0,1938.0,2906.5,3584.5,3359.0,4094.0,3983.0,,2801.0,,2864.0,2795.5,2934.0,2772.5,2753.5,3057.5,2872.5,2856.0,,848.0,,1501.0,976.0,1128.0,2278.5,2509.5,2453.0,3325.0,3140.5,,"{""type"":""Point"",""coordinates"":[15.11230619,41.38447375]}"
14786,47662094,F40,Bareland,Other bare soil,Fallow land,15.33987567,41.80718545,00000000000000000098,438.0,,1176.0,506.0,332.0,401.0,974.5,676.0,10396.0,805.0,,529.0,,1307.0,640.0,583.0,495.5,1359.5,1010.5,10527.0,1165.0,,642.0,,1434.0,792.5,449.0,551.0,1873.0,1351.5,10757.0,1603.0,,1743.0,,1804.0,1052.5,3328.0,1632.0,2743.0,1863.5,5676.0,2105.0,,1297.0,,2506.0,1411.5,1379.0,1217.5,3753.5,3037.0,2858.0,3056.0,,2819.0,,2886.0,2841.5,2950.0,2958.5,3034.0,3138.5,2630.5,2934.0,,785.0,,2247.0,963.5,557.0,674.5,2517.5,2225.0,2488.5,2293.0,,"{""type"":""Point"",""coordinates"":[15.33987567,41.80718545]}"
14859,47722070,F40,Bareland,Other bare soil,Fallow land,15.39262956,41.58703701,00000000000000001d7f,695.0,,717.0,590.5,228.0,10218.0,1175.0,897.0,1156.0,1359.0,,955.0,,916.0,702.0,493.0,10352.0,1809.5,1215.5,1464.5,1801.0,,959.0,,1037.0,813.5,397.0,10401.0,2583.0,1525.5,1844.0,2256.5,,2178.0,,1452.0,1272.0,3993.0,11594.5,3721.0,2062.5,2475.0,2915.5,,2534.0,,2174.0,1744.5,1559.0,4849.5,4100.5,3156.5,3560.5,4097.5,,2819.0,,2902.0,2839.0,2965.0,2890.5,3029.0,3136.0,2987.5,2976.0,,1803.0,,2160.0,1210.5,665.0,3600.5,2588.0,2833.0,3011.0,3675.5,,"{""type"":""Point"",""coordinates"":[15.39262956,41.58703701]}"
14860,47722096,F40,Bareland,Other bare soil,Fallow land,15.4132668,41.82135045,00000000000000001d80,476.0,,,1231.0,354.0,2049.0,796.0,1100.0,10494.5,2455.0,,708.0,,,1465.5,563.0,2319.0,1093.0,1672.5,10683.0,2772.0,,633.0,,,1462.5,458.0,2492.0,1479.0,2326.5,10856.0,3109.0,,2952.0,,,2257.0,3395.0,3857.0,2007.0,3159.5,5542.0,3564.5,,1860.0,,,2129.0,1314.0,2742.5,2227.0,4031.5,2973.5,4070.5,,2813.0,,,2824.0,2918.0,2915.0,2995.0,3095.0,2598.0,2909.0,,934.0,,,1602.0,630.0,1934.0,1354.0,2783.5,2510.0,3202.0,,"{""type"":""Point"",""coordinates"":[15.4132668,41.82135045]}"
14867,47722698,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),15.95843327,47.23225331,00000000000000001d87,665.0,,431.0,492.0,1684.0,666.0,708.0,3123.0,391.0,1774.5,,697.0,,633.0,646.0,1956.0,1098.0,1082.0,3160.0,576.0,1911.0,,792.0,,762.0,683.0,2112.0,1353.0,1111.5,3099.5,450.0,1954.0,,1066.0,,1353.0,1268.0,3248.0,2485.0,4195.0,3934.5,4080.0,3415.5,,1101.0,,1305.0,1173.0,2674.0,2449.0,2742.5,2273.0,1812.0,2684.0,,2728.0,,2741.0,2741.0,2683.0,2939.0,2954.5,2717.0,2965.0,2794.5,,527.0,,793.0,729.0,2188.0,1864.0,1656.0,1880.5,850.0,1897.0,,"{""type"":""Point"",""coordinates"":[15.95843327,47.23225331]}"
14873,47722988,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),16.27644413,49.83094201,00000000000000001d8d,,4322.0,502.0,,1293.0,2754.0,528.5,542.5,974.0,628.0,,,3596.0,583.0,,1463.5,2632.0,618.0,795.0,1340.0,962.0,,,3706.0,685.0,,1536.0,2725.0,558.0,983.5,1868.0,1084.0,,,4042.0,1294.0,,4067.5,4800.0,3596.0,2499.5,2837.0,2339.0,,,1206.0,1391.0,,2792.0,2356.0,1370.0,1818.5,2879.0,2403.0,,,2614.0,2790.0,,2824.5,2422.0,2931.5,3002.5,2965.0,2934.0,,,957.0,972.0,,1992.0,1832.0,720.5,1062.5,2241.0,1572.0,,"{""type"":""Point"",""coordinates"":[16.27644413,49.83094201]}"
14950,47802066,F40,Bareland,Other bare soil,Fallow land,15.48479997,41.54578571,00000000000000001dda,496.0,,569.0,532.5,331.0,357.0,905.0,1081.5,1081.0,926.0,,748.0,,753.0,704.0,424.0,604.0,1284.0,1654.0,1288.0,1106.0,,894.0,,796.0,700.0,364.0,531.0,1740.5,2185.0,1432.5,1286.0,,1731.0,,1316.0,1150.0,4483.0,3945.0,2748.0,3352.5,2071.0,1936.0,,1983.0,,1923.0,1488.5,1489.0,1826.0,3120.5,4076.0,2348.5,2439.0,,2830.0,,2908.0,2844.5,2939.0,3029.0,3004.5,3113.5,2973.5,2972.0,,1585.0,,1577.0,1131.5,774.0,846.0,2102.0,2884.0,1901.0,2015.5,,"{""type"":""Point"",""coordinates"":[15.48479997,41.54578571]}"
14961,47803200,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),16.65293734,51.72184067,00000000000000001de5,,6055.0,2103.0,,889.0,20000.0,,521.0,815.0,729.0,,,5523.0,1932.0,,1158.0,20000.0,,725.0,1123.0,762.0,,,6072.0,2149.0,,1431.0,20000.0,,865.0,1506.0,825.0,,,6334.0,2869.0,,2524.0,7104.0,,2566.0,2912.0,1400.0,,,1614.0,2066.0,,3296.0,5526.0,,2035.0,3480.0,1548.0,,,2690.0,2628.0,,2934.0,2690.0,,2995.0,3005.0,2870.0,,,1363.0,1882.0,,3020.0,4632.0,,1160.0,2237.0,1345.0,,"{""type"":""Point"",""coordinates"":[16.65293734,51.72184067]}"
14985,47822830,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),16.2326613,48.40811053,00000000000000001dfd,,,,,2801.5,,5076.0,734.5,844.0,710.5,,,,,,2855.0,,5155.0,1050.5,1244.0,891.0,,,,,,2988.5,,5251.0,1388.0,1663.0,1085.0,,,,,,4407.0,,6430.0,2408.5,2668.0,1897.5,,,,,,3472.5,,5040.0,2560.5,3537.0,2048.0,,,,,,2794.5,,2728.0,3012.5,2945.0,2886.0,,,,,,2704.5,,3845.0,1864.0,2854.0,1523.5,,"{""type"":""Point"",""coordinates"":[16.2326613,48.40811053]}"
15000,47842050,F40,Bareland,Other bare soil,Fallow land,15.51955316,41.39894621,00000000000000001e0c,474.0,4731.0,721.0,571.5,280.0,1148.0,1164.0,1244.0,1238.0,860.5,885.5,676.5,4796.0,914.0,640.0,536.0,1502.0,1690.0,1779.5,1771.0,1136.5,1182.5,551.0,4851.0,937.0,666.0,463.0,1812.0,2174.0,2333.5,2329.0,1413.5,1392.0,2248.5,5347.0,1375.0,1183.5,3406.0,3235.0,2890.0,3052.5,3165.0,1843.5,1859.5,1406.0,4015.0,1730.0,1129.0,1410.0,2772.0,3845.0,3815.5,3760.0,2266.0,2273.0,2833.5,2696.0,2892.0,2839.0,2955.0,2980.0,3034.0,3120.5,3067.0,2983.0,2926.0,797.5,3038.0,1503.0,899.5,662.0,1635.0,2785.0,2883.5,2825.0,1899.5,1926.0,"{""type"":""Point"",""coordinates"":[15.51955316,41.39894621]}"
15017,47862978,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),16.45834221,49.73050594,00000000000000001e1d,,6556.0,238.0,,476.5,2395.0,162.0,551.0,896.0,4119.0,,,5926.0,449.0,,699.0,2387.0,228.0,870.5,1221.0,4044.0,,,6426.0,330.0,,641.0,2412.0,131.0,1077.0,1763.0,4300.0,,,6685.0,4287.0,,3673.5,4995.0,1445.0,3204.5,2847.0,5377.0,,,1246.0,1854.0,,1743.0,2424.0,451.0,2650.5,3486.0,5201.0,,,2649.0,2790.0,,2880.5,2516.0,2875.0,3019.5,2995.0,2663.0,,,1052.0,884.0,,1020.0,1800.0,228.0,1581.0,2612.0,4882.0,,"{""type"":""Point"",""coordinates"":[16.45834221,49.73050594]}"
