,Point_ID,LC,LC0_Desc,LC1_Desc,LU1_Desc,x,y,system:index,B1,B1_1,B1_10,B1_11,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B2,B2_1,B2_10,B2_11,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B3,B3_1,B3_10,B3_11,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B4,B4_1,B4_10,B4_11,B4_3,B4_4,B4_5,B4_6,B4_7,B4_8,B4_9,B5,B5_1,B5_10,B5_11,B5_3,B5_4,B5_5,B5_6,B5_7,B5_8,B5_9,B6,B6_1,B6_10,B6_11,B6_3,B6_4,B6_5,B6_6,B6_7,B6_8,B6_9,B7,B7_1,B7_10,B7_11,B7_3,B7_4,B7_5,B7_6,B7_7,B7_8,B7_9,.geo
15100,47982054,F40,Bareland,Other bare soil,Fallow land,15.68925628,41.42562427,00000000000000001e70,999.0,8175.0,565.5,1612.0,311.5,408.0,940.5,1250.0,1309.0,781.5,,1099.0,8337.0,646.0,1661.0,512.0,671.5,1350.0,1758.0,1672.5,973.0,,1167.5,8487.0,702.0,1704.0,383.5,586.5,1709.0,2317.0,2038.0,1132.5,,1608.0,8427.0,986.5,2063.0,3225.5,3078.0,2385.0,3105.0,2628.0,1494.0,,1826.5,6445.0,1481.5,2275.5,1338.0,1413.5,2977.5,3807.0,3346.0,2073.5,,2773.0,2621.0,2923.5,2815.5,2960.0,2963.5,3036.5,3123.0,3038.0,2972.5,,1535.0,5668.0,1154.0,2016.5,644.0,739.5,2120.5,2607.0,2384.5,1695.5,,"{""type"":""Point"",""coordinates"":[15.68925628,41.42562427]}"
15101,47982076,F40,Bareland,Other bare soil,Fallow land,15.70758069,41.62385958,00000000000000001e71,507.5,4509.5,950.0,743.0,321.5,929.0,981.5,1086.0,1003.5,1021.0,835.5,683.5,4448.0,1234.0,754.0,584.5,1323.0,1458.5,1574.0,1330.5,1405.0,1107.0,744.0,4431.5,1515.0,647.0,419.0,1574.0,1919.5,2128.0,1653.5,1818.0,1368.5,1431.5,4702.5,2324.0,1018.0,4168.5,3453.0,2526.0,2802.0,2107.0,2269.0,1772.0,1356.5,2935.5,2731.0,948.5,1476.0,1414.0,3212.5,3837.0,2739.0,2678.0,2320.5,2821.5,2694.0,2892.0,2804.0,2944.5,2886.0,3069.5,3118.0,3034.0,2975.0,2936.0,916.5,2318.5,2230.0,660.5,660.0,1022.0,2627.0,3070.0,2276.5,2346.0,1920.0,"{""type"":""Point"",""coordinates"":[15.70758069,41.62385958]}"
15106,47982724,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),16.32889012,47.44597014,00000000000000001e76,608.0,,806.0,659.0,734.0,198.0,,3755.0,10442.5,1019.0,,957.0,,1061.0,1173.0,1019.0,256.0,,3908.0,10673.0,1223.0,,871.0,,1488.0,1439.0,969.0,93.0,,4013.0,10860.5,1329.0,,3042.0,,2267.0,2367.0,3805.0,844.0,,5320.0,4562.5,3361.0,,2245.0,,2936.0,2690.0,2177.0,220.0,,3904.0,4251.5,2847.0,,2790.0,,2766.0,2819.0,2859.0,2913.0,,2819.0,2950.0,2897.0,,1460.0,,2341.0,2014.0,1230.0,54.0,,3555.0,3425.0,2067.0,,"{""type"":""Point"",""coordinates"":[16.32889012,47.44597014]}"
15108,47982822,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),16.4388259,48.3240934,00000000000000001e78,5538.0,659.0,,,499.0,448.0,821.0,787.0,915.0,652.0,,5302.0,589.0,,,734.5,624.5,1001.0,1189.0,1180.5,694.5,,5571.0,667.0,,,691.0,514.0,1261.0,1528.0,1509.5,691.5,,5776.0,1412.0,,,3434.5,3477.5,2400.0,2403.0,2216.0,1236.0,,5237.0,1133.0,,,1819.5,1505.0,1857.0,3067.0,2925.5,1055.0,,2722.0,2728.0,,,2907.5,2955.0,2924.0,3029.0,3077.0,2864.0,,4750.0,650.0,,,985.5,851.0,1215.0,2450.0,2374.5,787.0,,"{""type"":""Point"",""coordinates"":[16.4388259,48.3240934]}"
15274,48162724,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),16.56663251,47.43187484,00000000000000001f1e,654.0,,,,877.0,674.0,763.0,3784.0,875.0,714.0,,776.0,,,,1294.5,1037.0,1228.0,3993.0,1280.0,1056.0,,863.0,,,,1508.0,1185.0,1406.5,4142.0,1542.0,1242.0,,1348.0,,,,2951.5,2855.0,3534.0,5487.0,3091.0,2781.0,,1366.0,,,,2469.5,2331.0,2660.5,3430.0,2632.0,2521.0,,2772.0,,,,2878.0,2934.0,2969.5,2813.0,3000.0,2892.0,,806.0,,,,1915.5,1743.0,1848.5,2767.0,1873.0,1791.0,,"{""type"":""Point"",""coordinates"":[16.56663251,47.43187484]}"
15349,48243334,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),17.48661446,52.88120584,00000000000000001f69,,4245.5,,,10430.0,400.0,,658.0,970.0,1269.0,,,4321.5,,,10570.5,522.0,,1078.5,1380.0,1782.0,,,4423.5,,,10512.5,351.0,,1241.5,1729.0,2232.0,,,5266.0,,,7023.0,2735.0,,2981.0,2935.0,3336.0,,,1692.5,,,3958.0,671.0,,2213.0,3556.0,3805.0,,,2705.5,,,2723.0,2886.0,,2977.5,3034.0,2908.0,,,1168.0,,,2605.0,331.0,,1236.5,2851.0,3466.0,,"{""type"":""Point"",""coordinates"":[17.48661446,52.88120584]}"
15486,48403270,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),17.62309911,52.29473362,00000000000000001ff2,,4191.0,537.0,,988.5,208.0,,585.5,564.5,5477.0,,,3610.0,509.0,,1182.0,259.0,,769.5,890.0,5732.0,,,3906.0,558.0,,1351.5,178.0,,774.0,1061.5,5968.0,,,4378.0,1447.0,,2870.5,1068.0,,2907.0,2461.5,6387.0,,,1321.0,1385.0,,2852.0,257.0,,1791.0,2597.0,4623.0,,,2703.0,2722.0,,2851.5,2908.0,,2920.0,2995.0,2747.0,,,996.0,827.0,,2410.0,83.0,,1058.0,1862.5,3279.0,,"{""type"":""Point"",""coordinates"":[17.62309911,52.29473362]}"
15496,48421742,F40,Bareland,Other bare soil,Fallow land,15.94645089,38.57966483,00000000000000001ffc,20000.0,4812.0,6060.0,4374.0,,,717.0,939.5,1009.0,1388.0,696.0,8218.0,4867.0,6329.0,4481.5,,,1071.0,1320.5,1051.0,1728.0,879.0,20000.0,4852.0,6480.0,4525.0,,,1416.0,1585.5,985.0,1936.0,847.0,8456.0,5395.0,6728.0,5139.0,,,2383.0,3120.0,1631.0,3568.0,2620.0,4484.0,3894.0,4949.0,2253.5,,,3352.0,3655.5,1225.0,3337.0,1963.0,2683.0,2292.0,2807.0,2520.5,,,3049.0,3048.5,2955.0,2902.0,2886.0,2862.0,3695.0,3740.0,2068.5,,,2794.0,2931.0,782.0,2395.0,1224.0,"{""type"":""Point"",""coordinates"":[15.94645089,38.57966483]}"
15536,48462776,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),17.02603165,47.87283271,00000000000000002024,,,,,676.5,465.0,1833.0,824.0,1012.0,614.0,,,,,,861.5,689.0,2141.5,1235.0,1190.0,886.0,,,,,,829.5,709.0,2167.0,1616.0,1367.0,1007.0,,,,,,2445.0,2788.0,5359.5,2617.0,2253.5,1832.0,,,,,,1884.5,1873.0,3379.5,3216.0,2726.5,2544.0,,,,,,2883.5,2960.0,2875.5,3025.0,2960.0,2990.0,,,,,,1442.5,1308.0,2349.5,2658.0,2221.0,2242.0,,"{""type"":""Point"",""coordinates"":[17.02603165,47.87283271]}"
15628,48562014,F40,Bareland,Other bare soil,Fallow land,16.34162969,41.0235651,00000000000000002080,671.0,3977.5,376.0,3905.0,444.5,354.0,640.0,796.5,1793.5,4923.0,2160.5,792.0,4211.5,530.5,3671.0,773.5,698.0,936.0,1115.5,2069.5,5097.0,2218.0,793.0,4445.0,757.5,3604.0,664.0,576.0,1339.0,1517.0,2366.0,5313.0,2348.0,2053.0,5595.0,1078.0,3565.5,3136.5,3110.0,1804.0,2008.5,2849.0,5711.0,2720.5,1812.0,5006.0,1729.5,3078.0,1776.0,1684.0,2364.0,2777.0,3381.0,4654.0,2637.5,2813.0,2709.0,2970.0,2772.0,2924.0,2955.0,3100.0,3129.0,2938.0,2585.0,2806.0,1085.0,4430.0,1489.5,2541.5,982.0,860.0,1999.0,2346.0,2934.5,4028.0,2122.5,"{""type"":""Point"",""coordinates"":[16.34162969,41.0235651]}"
